Latitude (decimal degrees):	53.368
Longitude (decimal degrees):	7.183
Elevation (m):	3
Radiation database:	PVGIS-ERA5


Slope: 23 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0030,0.0,0.0,0.0,14.97,9.66,0.0
20230101:0130,0.0,0.0,0.0,14.48,10.28,0.0
20230101:0230,0.0,0.0,0.0,13.85,9.45,0.0
20230101:0330,0.0,0.0,0.0,13.76,8.83,0.0
20230101:0430,0.0,0.0,0.0,13.35,8.83,0.0
20230101:0530,0.0,0.0,0.0,12.55,9.1,0.0
20230101:0630,0.0,0.0,0.0,12.4,8.9,0.0
20230101:0730,0.0,0.0,-2.8,12.19,9.03,0.0
20230101:0830,14.18,29.74,3.82,11.77,8.62,0.0
20230101:0930,70.64,99.15,8.99,11.39,8.21,0.0
20230101:1030,184.88,228.01,12.35,12.05,7.72,0.0
20230101:1130,218.38,264.92,13.62,11.99,7.66,0.0
20230101:1230,213.33,259.56,12.69,11.91,7.59,0.0
20230101:1330,201.5,248.64,9.64,11.99,7.31,0.0
20230101:1430,76.71,109.97,4.73,11.76,6.62,0.0
20230101:1530,0.0,0.0,-1.69,11.29,5.86,0.0
20230101:1630,0.0,0.0,0.0,11.02,5.24,0.0
20230101:1730,0.0,0.0,0.0,10.89,5.1,0.0
20230101:1830,0.0,0.0,0.0,11.1,4.62,0.0
20230101:1930,0.0,0.0,0.0,11.09,4.48,0.0
20230101:2030,0.0,0.0,0.0,10.7,4.48,0.0
20230101:2130,0.0,0.0,0.0,10.58,4.28,0.0
20230101:2230,0.0,0.0,0.0,10.31,3.31,0.0
20230101:2330,0.0,0.0,0.0,10.1,3.38,0.0
20230102:0030,0.0,0.0,0.0,9.88,3.66,0.0
20230102:0130,0.0,0.0,0.0,9.84,4.14,0.0
20230102:0230,0.0,0.0,0.0,10.46,4.9,0.0
20230102:0330,0.0,0.0,0.0,11.05,4.41,0.0
20230102:0430,0.0,0.0,0.0,11.45,4.48,0.0
20230102:0530,0.0,0.0,0.0,11.92,5.24,0.0
20230102:0630,0.0,0.0,0.0,11.93,7.03,0.0
20230102:0730,0.0,0.0,-2.78,11.39,7.79,0.0
20230102:0830,3.34,12.71,3.86,10.46,6.41,0.0
20230102:0930,12.28,26.52,9.04,9.46,6.14,0.0
20230102:1030,26.61,45.54,12.41,9.07,4.9,0.0
20230102:1130,67.35,94.36,13.7,8.99,4.62,0.0
20230102:1230,186.49,227.7,12.79,8.89,4.55,0.0
20230102:1330,79.68,108.56,9.75,9.05,5.45,0.0
20230102:1430,10.31,23.73,4.85,9.1,5.1,0.0
20230102:1530,0.0,0.0,-1.56,9.06,5.66,0.0
20230102:1630,0.0,0.0,0.0,8.5,5.52,0.0
20230102:1730,0.0,0.0,0.0,7.92,4.97,0.0
20230102:1830,0.0,0.0,0.0,7.63,4.83,0.0
20230102:1930,0.0,0.0,0.0,6.73,4.55,0.0
20230102:2030,0.0,0.0,0.0,6.35,4.34,0.0
20230102:2130,0.0,0.0,0.0,5.47,4.41,0.0
20230102:2230,0.0,0.0,0.0,5.35,4.34,0.0
20230102:2330,0.0,0.0,0.0,4.9,4.21,0.0
20230103:0030,0.0,0.0,0.0,4.44,4.07,0.0
20230103:0130,0.0,0.0,0.0,4.0,3.72,0.0
20230103:0230,0.0,0.0,0.0,3.69,3.52,0.0
20230103:0330,0.0,0.0,0.0,2.99,3.45,0.0
20230103:0430,0.0,0.0,0.0,2.51,3.24,0.0
20230103:0530,0.0,0.0,0.0,2.26,3.38,0.0
20230103:0630,0.0,0.0,0.0,2.32,3.59,0.0
20230103:0730,0.0,0.0,-2.75,2.6,3.86,0.0
20230103:0830,71.8,101.87,3.9,2.65,3.86,0.0
20230103:0930,202.64,242.83,9.1,3.17,3.72,0.0
20230103:1030,331.31,383.33,12.49,3.62,3.31,0.0
20230103:1130,301.26,349.53,13.79,4.56,3.52,0.0
20230103:1230,272.21,319.01,12.89,5.3,3.59,0.0
20230103:1330,76.32,103.64,9.87,6.39,4.28,0.0
20230103:1430,6.14,17.44,4.98,6.77,4.34,0.0
20230103:1530,0.0,0.0,-1.43,6.81,4.34,0.0
20230103:1630,0.0,0.0,0.0,7.15,4.62,0.0
20230103:1730,0.0,0.0,0.0,7.0,5.1,0.0
20230103:1830,0.0,0.0,0.0,6.93,5.79,0.0
20230103:1930,0.0,0.0,0.0,6.91,6.41,0.0
20230103:2030,0.0,0.0,0.0,7.06,6.97,0.0
20230103:2130,0.0,0.0,0.0,7.32,7.45,0.0
20230103:2230,0.0,0.0,0.0,7.27,7.52,0.0
20230103:2330,0.0,0.0,0.0,7.47,8.07,0.0
20230104:0030,0.0,0.0,0.0,7.63,8.69,0.0
20230104:0130,0.0,0.0,0.0,7.83,9.17,0.0
20230104:0230,0.0,0.0,0.0,8.27,9.24,0.0
20230104:0330,0.0,0.0,0.0,8.47,9.66,0.0
20230104:0430,0.0,0.0,0.0,8.58,9.31,0.0
